customer_id,tenure_months,subscription_tier,monthly_charges,login_frequency_monthly,feature_usage_pct,support_tickets_90d,payment_delays_12m,discount_count,nps_score,email_open_rate,last_activity_days,churned,engagement_score,is_high_value,has_payment_issues,is_heavy_support_user,is_inactive,clv_estimate,risk_score_baseline,churn_probability,risk_tier,duration_days,event_observed,predicted_days_until_churn
CUST_000001,11,Standard,81.44,17,19.0,4,0,0,7,0.473,6,0,46.160000000000004,0,0,1,0,716.672,36.152,0.6104462226923594,High,120,0,94
CUST_000002,72,Basic,26.56,15,18.7,3,2,4,2,0.07,5,1,26.009999999999998,0,1,1,0,1529.856,77.197,0.4621430230718087,Medium,119,1,101
CUST_000003,31,Premium,141.32,20,27.1,1,0,0,8,0.234,31,1,48.81,1,0,0,1,3504.7360000000003,30.357,0.42107053200827305,Medium,118,1,103
CUST_000004,21,Standard,83.32,13,29.7,3,0,5,7,0.538,6,0,46.67,0,0,1,0,1399.7759999999998,35.999,0.5507402298526769,High,120,0,100
CUST_000005,4,Basic,29.17,16,11.5,1,0,1,7,0.514,5,1,43.730000000000004,0,0,0,0,93.34400000000001,16.881,0.5725837082716245,High,17,1,97
CUST_000006,4,Enterprise,324.59,19,24.7,4,0,0,7,0.562,19,0,51.65,1,0,1,1,1038.6879999999999,49.505,0.6381362359196554,High,120,0,90
CUST_000007,1,Standard,77.87,15,19.9,2,1,1,7,0.528,4,0,45.53,0,1,0,0,62.29600000000001,41.340999999999994,0.5837065636545902,High,120,0,94
CUST_000008,48,Basic,31.14,13,39.2,1,1,1,7,0.202,1,1,42.8,0,1,0,0,1195.776,42.160000000000004,0.24657857615858775,Low,119,1,105
CUST_000009,22,Standard,78.19,15,20.3,1,3,1,3,0.505,3,0,37.19,0,1,0,0,1376.144,53.843,0.6341001311816933,High,120,0,93
CUST_000010,29,Basic,31.78,14,28.2,2,0,0,6,0.504,2,0,44.54,0,0,0,0,737.296,26.637999999999998,0.40250755222700946,Medium,120,0,102
CUST_000011,1,Premium,162.7,15,19.6,1,0,2,8,0.44,4,1,45.68000000000001,1,0,0,0,130.16,16.295999999999996,0.5415183745746996,High,7,1,97
CUST_000012,84,Premium,143.91,17,30.3,2,1,2,6,0.529,15,0,48.669999999999995,1,1,0,1,9670.752,65.399,0.17707958075477256,Low,120,0,108
CUST_000013,42,Enterprise,322.08,15,31.5,4,0,0,5,0.221,0,0,38.870000000000005,1,0,1,0,10821.887999999999,48.339,0.4086665456664118,Medium,120,0,99
CUST_000014,5,Standard,84.49,18,39.7,2,0,2,7,0.547,5,0,54.85,0,0,0,0,337.96000000000004,13.545,0.46308037932567253,Medium,120,0,100
CUST_000015,4,Standard,74.43,15,39.6,4,0,1,7,0.368,5,0,48.239999999999995,0,0,1,0,238.17600000000004,35.528000000000006,0.5813732117008235,High,120,0,93
